Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2000-01-03,0,A 'hindrance to operations': extracts from the leaked reports,Scorecard,Hughes' instant hit buoys Blues,Jack gets his skates on at ice-cold Alex,Chaos as Maracana builds up for United,Depleted Leicester prevail as Elliott spoils Everton's party,Hungry Spurs sense rich pickings,Gunners so wide of an easy target,Derby raise a glass to Strupar's debut double,"Southgate strikes, Leeds pay the penalty",Hammers hand Robson a youthful lesson,Saints party like it's 1999,Wear wolves have turned into lambs,Stump mike catches testy Gough's taunt,Langer escapes to hit 167,Flintoff injury piles on woe for England,Hunters threaten Jospin with new battle of the Somme,Kohl's successor drawn into scandal,The difference between men and women,"Sara Denver, nurse turned solicitor",Diana's landmine crusade put Tories in a panic,Yeltsin's resignation caught opposition flat-footed,Russian roulette,Sold out,Recovering a title
2000-01-04,0,Scorecard,The best lake scene,Leader: German sleaze inquiry,"Cheerio, boyo",The main recommendations,Has Cubie killed fees?,Has Cubie killed fees?,Has Cubie killed fees?,Hopkins 'furious' at Foster's lack of Hannibal appetite,Has Cubie killed fees?,A tale of two tails,I say what I like and I like what I say,"Elbows, Eyes and Nipples",Task force to assess risk of asteroid collision,How I found myself at last,On the critical list,The timing of their lives,Dear doctor,Irish court halts IRA man's extradition to Northern Ireland,Burundi peace initiative fades after rebels reject Mandela as mediator,PE points the way forward to the ECB,Campaigners keep up pressure on Nazi war crimes suspect,Jane Ratcliffe,Yet more things you wouldn't know without the movies,Millennium bug fails to bite
2000-01-05,0,Coventry caught on counter by Flo,United's rivals on the road to Rio,Thatcher issues defence before trial by video,Police help Smith lay down the law at Everton,Tale of Trautmann bears two more retellings,England on the rack,Pakistan retaliate with call for video of Walsh,Cullinan continues his Cape monopoly,McGrath puts India out of their misery,Blair Witch bandwagon rolls on,Pele turns up heat on Ferguson,Party divided over Kohl slush fund scandal,Manchester United (England),Women in record South Pole walk,Vasco da Gama (Brazil),South Melbourne (Australia),Necaxa (Mexico),Real Madrid (Spain),Raja Casablanca (Morocco),Corinthians (Brazil),Tony's pet project,Al Nassr (Saudi Arabia),Ideal Holmes show,Pinochet leaves hospital after tests,Useful links
2000-01-06,1,Pilgrim knows how to progress,Thatcher facing ban,McIlroy calls for Irish fighting spirit,Leicester bin stadium blueprint,United braced for Mexican wave,"Auntie back in fashion, even if the dress looks a bit tatty",Shoaib appeal goes to the top,Hussain hurt by 'shambles' but lays blame on earlier damage,England's decade of disasters,Revenge is sweet for jubilant Cronje,"Our choice, not theirs",Profile of former US Nazi Party officer William Pierce,New evidence shows record of war crimes suspect was not investigated,The rise of the supernerds,Written on the body,Putin admits Yeltsin quit to give him a head start,BBC worst hit as digital TV begins to bite,How much can you pay for...,Christmas glitches,"Upending a table, Chopping a line and Scoring a goal","Scientific evidence 'unreliable', defence claims",Fusco wins judicial review in extradition case,Rebels thwart Russian advance,Blair orders shake-up of failing NHS,Lessons of law's hard heart
2000-01-07,1,Hitches and Horlocks,Beckham off but United survive,Breast cancer screening,Alan Parker,Guardian readers: are you all whingers?,Hollywood Beyond,Ashes and diamonds,Whingers - a formidable minority,Alan Parker - part two,"Thuggery, Toxins and Ties",Met faces fresh attack on race crime,Everton fans top racist 'league of shame',"Our breasts, ourselves",Russia's new boss has an extremely strange history,Always and forever,Most everywhere:  UDIs,Most wanted:  Chloe lunettes,Return of the cane 'completely off the agenda',From Sleepy Hollow to Greeneland,Blunkett outlines vision for over 11s,"Embattled Dobson attacks 'play now, pay later' Livingstone",Doom and the Dome,What is the north-south divide?,Aitken released from jail,Gone aloft
2000-01-10,1,Fifth round draw,BBC unveils secret weapon in ratings war: South Melbourne,Second Division round-up,European round-up,Third Division round-up,Welfare could claim Killie tie as Caley Thistle land Celtic,Ferguson puts brave face on Rio meltdown,Southgate in striking form to pre-empt penalties,Second bite for Wolves,Scallywags have Chelsea looking to the bench,England miss a trick for Centurion,Radio just in time for England batting collapse,Faith in the future,Youth at the helm until it goes under,United stave off inevitable,Time Warner and AOL to merge,Keep up,Waging global war,"Desktop icons, No 1: The Qwerty keyboard",The sec's files,The low down: Workplace bullying,Met 'not equipped' to solve murders,Tranmere tie will not be replayed,Rebel attacks take toll on Russia,Met lent stopped car to Lawrence
2000-01-11,1,Man Utd 2 - 0 South Melbourne,How North Atlantic drift could carry away Old Firm,Buoyant BBC to show Brazil final live,Tranmere given all-clear in the Cup,United sit poorly with the Doc,Queen's Park peril clouds Hampden future,Waugh hits out at Shoaib reprieve,Knight makes case for Butcher's place,Scoreboard,Bond is not enough for 007 star Brosnan,You just can't help some people,Blake blasts Liverpool out,German party leader took cash from arms dealer,Children's book of the week,How low can they go?,I'd like that in writing,Split vote may offer NatWest takeover escape,"Teaching is for stayers, not sprinters",A lesson in respect,'Now everyone knows we are a good school','What's wrong with giving teachers applause?','When I realised I'd won I felt sick with shock',No more 'tenderness' from stung Russian forces,Inspectors warn pressure might lead officers to take on 'easy to solve' cases,Repairing Jack's house
2000-01-12,0,Newcastle seek new football supremo,Liverpool aim to speed up Heskey deal,Highlanders voted up,Edwards' power play suffers new blow,Chelsea gamble on Weah,Taylor settles the eternal tie,Tenth top-flight club falls as Hodge has final word,Charlton charge to top,German party chief resists calls to resign,The Beach made a man out of Leo,'Pariah' Irving sues Holocaust author,Jack Straw's full Commons speech,Batty business books,Frock consciousness: does it matter what the heroine is wearing?,Arms to Pakistan,Like-minded,Is it cos I is black?,"Megabucks, Out of luck, and What the...?",Cabinet battle rages over ethical foreign policy,Radio station becomes Talk of sport,A better breed of dad,Childish things,Kids: just say hopscotch,Smoke without fire,"Press reaction from Spain, Chile and Argentina"
2000-01-13,1,Bungling officials on the carpet,And in the red and raw corner it's 'Killer' MacKenzie,United put their shirts on �30m,England against plan for home nations' revival,Donald poised to quit Test scene,Adams stares into the abyss,Money money money,Tyson to enter Britain,"Gas chamber claims impossible, says Irving",Union takes mayoral vote row to court,Win tickets to The End of the Affair,Irving denies deliberately portraying Hitler as 'merciful',Gallant Fulham flunk shoot-out,Hill start leaves Tranmere one step from Wembley,Weah strikes right on cue,"Dinner plates, Microwave ovens and Toast",No one can be simultaneously free yet live in fear,More doubt on Pakistan arms exports,Another fine mess,Cybershopping: sportswear,How much can you pay for . . .,Hillary holds her own on The Late Show,"Bye, bye American pi",Tension mounts as Straw stands by trial plans,Harrods loses Prince Philip's royal warrant
2000-01-14,1,Pompey plump for Pulis work ethic,Roma under fire over Rolexes for referees,Prenton Park Two told to take a break,"OK, I didn't figure in Rio but I'm still No1 with the under-10s",Chelsea tune in to Weah's world,Top storey awaits the Cottage,West Indies unveil fiery next generation,Donald's killing fields await edgy England,Cronje low on runs but ending on a captaincy high,Counties to lose Murali and Shoaib,Final to tell tale of two cities,TV rivals jostle for soccer club stakes,Blatter: United gave no boost to World Cup bid,Sunderland recovery will be bad news for bookies,England's main fault? They tried too hard,Schreiber: The man who would topple kings,Joe Ashton's letter of resignation,Ashton resigns from Wednesday board,Stravinsky: The Rake's Progress,The best waterfront scene,"Incompetence, Insult and Injury",Finding the time,England take six on rain-shortened first day,Media sale nets Chris Evans a �75m 'divvy',Scissors at dawn
2000-01-18,1,England's elite set for pay struggle,Robson puts his job on the line,Old Firm lobby to replace Uefa Cup,Babbel to check in at Anfield,For Muralitharan read MacGill,All padded up with nowhere to go,Individuals who support the alliance,The best omen scene,The patent importance of our genetic blueprint,German opposition crisis as party meets on scandal,A high not to be sniffed at,Just you wait,The one that got away,Feel the quality,The whole story,Plus points,DiCaprio considering Anakin Skywalker role,'No question' of a decision on Pinochet today,Tesco's silence refuels M&S rumour,"Irving claims mad or mendacious, court told",Moratti joins GMG in venture capital firm,Peak Practice sex claims criticised,Baddiel and Skinner back for ITV,Outright quackery,How to avoid the quacks
2000-01-19,0,No apologies from the captains for contrived finale,One-off deal sets up Hussain Test victory,Old Trafford in talks to reduce Yorke's national service,Draper sets out his stall in Madrid,Forest giant still standing,Adams stays on Arsenal injury roll,The young and the witless,Indian outing for Donald,At last the health service has something to celebrate,Housing: Transatlantic warning,Hick and the England VIII flourish in obscurity,Defiant Banks insists Wembley could host athletics,Why Straw plans to ditch defendants' right to choose,Intensive farms threaten wildlife,Agent provocateur,The case against Ken Livingstone,Rumours of talks as Russians continue Chechen assault,Deeper into the mire,Your millennium poems,Kohl forced out as Sch�uble clings on,"My life on the net: David Long, Reclaim the Streets activist",Tips on getting more efficiency out of women employees,Policing: Stop and think,'A police service that can enjoy widespread support from the community as a whole',Blair rebukes Hague on crime and health
2000-01-20,0,Homes alone won't make us world beaters,Wembley crackdown on pirate hospitality,Keegan calls for pay curb,Backing for Saint Jones,Leboeuf rises to Bates,South Africa Test averages,Wasim loses way after milestone,Swann asked to hang around,Rousing finale to an old refrain,Lords back trial by jury,Hollywood star Hedy Lamarr dies,Lords reform,Britain's ethical foreign policy: keeping the Hawk jets in action,The �5bn conflict of interest,Should you be investing in your future?,Is postgraduate study for you?,Turn these clients away,The generals profit as the people pay with their lives,The Wakeham commission recommendations,Vanessa Feltz returns to daytime television,Tesco leads the world online growth and profit,Cybersurfing: window shopping on the web,Bargain hunting:  how to compare prices,Cybershopping's 50 favourite sites,Falling for Vertigo by WG Sebald
2000-01-21,0,"Never mind Tyson, we is the tops at melting the plastic",Keegan faces German test first,Magpies swoop on Sparrowhawk,Investors call on Ashton to end campaign,All Wright  Celtic striker is not a secret agent,Under-19s make sad exit from World Cup,England lines up all-Asian finale,Scoreboard,England fumble for safe keeping,South Africa try to oust president,The empty chamber,"Leader: Who doesn't dare, loses",Reformed chamber presented as 'radical evolution',Win Edgar Davids' boots,Soccer's injured cry foul,Voices from Spain,Internet delivery may be future of video,Business school puts its faith in ex-fundraiser,Degree evolves to meet your needs,Harness the e-commerce explosion,"Case two: 'A long, hard, lonely road - but it helped me to progress'",Case three: 'Discipline and hard work are essential - but I'm glad I did it',How to maximise your employment potential,PhD rewards are high if you don't lose your patience - or your mind,�100m to run school pay system
